Tweet id,Fecha de Publicación,Tweet,Retweets,Favoritos
757226695023788032,Sun Jul 24 14:51:27 +0000 2016,EN VIVO | LA HABANA | Presentación del enfoque de género en acuerdos de paz | Ver ? https://t.co/nE3lFxaOfv https://t.co/uBjBTzEiID,59,35
757225351600803840,Sun Jul 24 14:46:07 +0000 2016,EN VIVO | Presentación del enfoque de género en acuerdos alcanzados hasta la fecha por la Mesa de Conversaciones. https://t.co/nE3lFxaOfv,5,8
757029351573561344,Sun Jul 24 01:47:16 +0000 2016,"""Democracia no es tanto método para decidir por mayoría, sino instrumento para proteger las minorías"": HCalle
https://t.co/l3OMFGkGWn",80,70
756900715176550401,Sat Jul 23 17:16:07 +0000 2016,"""La Paz exige grandeza y respeto. Insultos contra expresidente Uribe no construyen democracia"": Humberto de la Calle",180,172
756834664506163200,Sat Jul 23 12:53:39 +0000 2016,"""Esperamos que con la implementación de los acuerdos se asegure la dignificación de las víctimas"": @ComisionadoPaz https://t.co/FCJTkzLEAg",81,62
756479128426033152,Fri Jul 22 13:20:53 +0000 2016,"El gran desafío del posconflicto será abrir una etapa profunda de cambios con una democracia más incluyente: HCalle
https://t.co/2YcKicceEP",72,52
756247154801475585,Thu Jul 21 21:59:06 +0000 2016,Habrá una comisión q esclarezca la verdad y promueva la convivencia y la no repetición |Ver? https://t.co/07sXq3Aq6G https://t.co/LH0SgKLKot,45,18
756172739531141120,Thu Jul 21 17:03:24 +0000 2016,Subcomisión de Género concluye revisión e incorporación de enfoque de género en acuerdos|Ver?https://t.co/Ro3pVNzroK https://t.co/TFkHQHMNzC,63,48
756168882453356548,Thu Jul 21 16:48:05 +0000 2016,Subcomisión de Género concluye revisión e incorporación de enfoque de género en acuerdos|Ver?https://t.co/Ro3pVNzroK https://t.co/Hp7JNt2j3c,33,25
756089949942747136,Thu Jul 21 11:34:26 +0000 2016,"Cese al fuego no es sólo militar, también es cese de hostilidades, extorsiones, minería ilegal, narcotráfico: HCalle
https://t.co/abfdmE2DxF",95,67
755398691322630145,Tue Jul 19 13:47:37 +0000 2016,"UN MITO | ¿En La Habana los negociadores del Gobierno le están entregando el país a las Farc? | Habla Gral. (r) Mora
https://t.co/4cByEJ4FuQ",104,62
755134108334952448,Mon Jul 18 20:16:15 +0000 2016,Es necesario mejorar las condiciones de acceso y uso de la tierra | Ver Acuerdo Agrario ? https://t.co/WyFJXuKo3F https://t.co/45f6FvlM0t,34,28
755064968140259328,Mon Jul 18 15:41:31 +0000 2016,Pedagogía de paz para colombianos en Nueva York con @Gr_Naranjo de @EquipoPazGob y @AlanJaraU de @UnidadVictimas https://t.co/u9T4Y5OQ9g,8,6
755039347859034112,Mon Jul 18 13:59:43 +0000 2016,"""Todas la armas se entregarán a ONU, incluidas las armas de las milicias"": Humberto de la Calle
https://t.co/whLewoJMuc",136,86
754296146667929602,Sat Jul 16 12:46:30 +0000 2016,"Condiciones en Jurisdicción Especial Paz: Entregar armas, reconocer responsabilidad y satisfacer derechos víctimas https://t.co/dyEUtLrtZ5",84,68
754075166079016961,Fri Jul 15 22:08:24 +0000 2016,"No se bajará la guardia contra crimen organizado en Colombia: @Gr_Naranjo reunido con agencias de seguridad de EE.UU
https://t.co/pGxOOcRmmi",32,26
754041830782545920,Fri Jul 15 19:55:56 +0000 2016,"La ambición del proceso no es sólo terminar el conflicto; hay q asegurar q no degenere en otras formas de violencia.
https://t.co/LphizTmWpr",46,40
753957309945094144,Fri Jul 15 14:20:05 +0000 2016,El Acuerdo de Drogas Ilícitas busca abordar el consumo con un enfoque de salud pública |Ver? https://t.co/s7fBsr644h https://t.co/Lo2CXKD1v2,22,21
753703106043674624,Thu Jul 14 21:29:58 +0000 2016,.@EquipoPazGob acuerda hoja de ruta para trabajar en perspectiva étnica de acuerdos | Ver? https://t.co/xO5GVyndVh https://t.co/0uVMDpaUC3,34,24
753645127646711808,Thu Jul 14 17:39:35 +0000 2016,Terminar conflicto de 50 años será un impacto positivo en seguridad de colombianos y países de la región:@Gr_Naranjo https://t.co/BPDRGiXwxx,24,38
753631029483581441,Thu Jul 14 16:43:33 +0000 2016,"Todo el que hizo un daño tiene que repararlo y no hay excepciones: Humberto de la Calle ? https://t.co/DJfJXKXOEF
https://t.co/NCgbJEF2Br",44,39
753592201884631040,Thu Jul 14 14:09:16 +0000 2016,El proceso de paz es una oportunidad para reparar a las víctimas | Conozca el acuerdo ? https://t.co/Gd8UVpeLaM https://t.co/OhgH2Y4gwl,32,23
753280720559374336,Wed Jul 13 17:31:33 +0000 2016,NUEVA YORK | @Gr_Naranjo en sede @ONU_es reunido con Misión de Finlandia y María E. Mejía para hablar sobre acuerdos https://t.co/aAGsCHpzRZ,35,21
753231134922858496,Wed Jul 13 14:14:31 +0000 2016,Conozca los orígenes y las múltiples causas del conflicto en Colombia | Ver informe ? https://t.co/bEkDb0SM1q https://t.co/qoGcytunmc,67,52
752896608996589572,Tue Jul 12 16:05:14 +0000 2016,En Consulado de Miami @Gr_Naranjo saluda a los colombianos y se reúne con medios para hablar de acuerdos alcanzados https://t.co/oyf8EKp2bp,19,16
752868291945771008,Tue Jul 12 14:12:43 +0000 2016,"UN MITO | ¿El proceso de paz llevará a un estado 'Castrochavista'? ¡FALSO! Habla Frank Pearl, Delegación Gobierno.
https://t.co/tNcZ16aSPw",59,39
752594503698157568,Mon Jul 11 20:04:46 +0000 2016,Estamos a punto de mirar el rostro de la paz: Humberto de la Calle | Ver? https://t.co/hYvyCFO4kc https://t.co/B5X0tp5RFP,35,39
